centrality c3{4} stat-err sys-err-low sys-err-high
2.5 1.56247e-08 4.31996e-09 9.37483e-09 4.68742e-09
7.5 2.44631e-08 6.06497e-09 1.46779e-08 7.33893e-09
12.5 3.07999e-08 7.5686e-09 1.84799e-08 9.23996e-09
17.5 3.31765e-08 9.39427e-09 1.99059e-08 9.95294e-09
22.5 6.12286e-08 1.17932e-08 3.67372e-08 1.83686e-08
27.5 4.74947e-08 1.4967e-08 2.84968e-08 1.42484e-08
32.5 5.32898e-08 1.94201e-08 3.19739e-08 1.59869e-08
37.5 3.86646e-08 2.59261e-08 2.31988e-08 1.15994e-08
42.5 7.55592e-08 3.59209e-08 4.53355e-08 2.26677e-08
47.5 9.19004e-08 5.22304e-08 5.51402e-08 2.75701e-08
52.5 8.43229e-08 8.07845e-08 5.05938e-08 2.52969e-08

centrality c3{4}abab stat-err sys-err-low sys-err-high
5 5.26026e-09 1.37927e-08 1.05205e-08 3.15616e-08
15 7.93307e-09 1.67036e-08 1.05205e-08 3.15616e-08
25 3.19933e-08 2.21401e-08 1.05205e-08 3.15616e-08
35 5.2753e-08 3.43592e-08 1.05205e-08 3.15616e-08

centrality c3{4}aabb stat-err sys-err-low sys-err-high
5 -2.88022e-08 1.95096e-08 -2.30417e-08 -2.88022e-08
15 -3.21828e-09 2.36001e-08 -2.30417e-08 -2.88022e-08
25 1.60848e-08 3.12766e-08 -2.30417e-08 -2.88022e-08
35 1.45462e-08 4.8473e-08 -2.30417e-08 -2.88022e-08

centrality c3{4}single stat-err sys-err-low sys-err-high
2.5 3.64513e-08 7.55145e-09 1.09354e-08 1.45805e-08
7.5 6.44798e-08 9.09131e-09 1.93439e-08 2.57919e-08
12.5 8.97388e-08 1.23067e-08 2.69216e-08 3.58955e-08
17.5 1.22304e-07 1.67041e-08 3.66913e-08 4.89218e-08
22.5 1.76018e-07 2.28697e-08 5.28054e-08 7.04072e-08
27.5 1.93017e-07 3.18362e-08 5.79051e-08 7.72069e-08
32.5 2.46064e-07 4.53919e-08 7.38191e-08 9.84255e-08
37.5 1.93137e-07 6.66569e-08 5.7941e-08 7.72546e-08
42.5 2.00649e-07 1.02359e-07 6.01948e-08 8.02597e-08
