centrality v2{2} stat-err sys-err
0.5 0.0154732 9.20019e-05 0.000928391
1.5 0.0169732 8.35936e-05 0.00101839
2.5 0.0187258 7.85179e-05 0.00112355
3.5 0.0205639 7.46966e-05 0.00123383
4.5 0.0226202 7.12753e-05 0.00135721
5.5 0.0245999 6.82453e-05 0.001476
6.5 0.0266427 6.54555e-05 0.00159856
7.5 0.0286503 6.32285e-05 0.00171902
8.5 0.0305891 6.14563e-05 0.00183534
9.5 0.0324409 6.00166e-05 0.00194645
10.5 0.0342224 5.89444e-05 0.00205334
11.5 0.0360136 5.79645e-05 0.00216082
12.5 0.0377202 5.72885e-05 0.00226321
13.5 0.0393571 5.67486e-05 0.00236143
14.5 0.0409511 5.63304e-05 0.00245706
15.5 0.0424953 5.60492e-05 0.00254972
16.5 0.0439418 5.59439e-05 0.00263651
17.5 0.0453477 5.58283e-05 0.00272086
18.5 0.0467343 5.58859e-05 0.00280406
19.5 0.048032 5.59983e-05 0.00288192
20.5 0.0492924 5.61754e-05 0.00295755
21.5 0.0505459 5.64231e-05 0.00303276
22.5 0.0517029 5.67728e-05 0.00310218
23.5 0.0528274 5.71331e-05 0.00316964
24.5 0.0538629 5.76154e-05 0.00323177
25.5 0.0548591 5.81632e-05 0.00329154
26.5 0.055796 5.87298e-05 0.00334776
27.5 0.0567344 5.93355e-05 0.00340406
28.5 0.0575881 6.00451e-05 0.00345528
29.5 0.058396 6.0785e-05 0.00350376
30.5 0.0591896 6.16296e-05 0.00355137
31.5 0.0598422 6.25879e-05 0.00359053
32.5 0.0606472 6.34197e-05 0.00363883
33.5 0.0611658 6.459e-05 0.00366995
34.5 0.0617894 6.56415e-05 0.00370736
35.5 0.0623608 6.68058e-05 0.00374165
36.5 0.0628554 6.80538e-05 0.00377132
37.5 0.0632788 6.94356e-05 0.00379673
38.5 0.0637148 7.08436e-05 0.00382289
39.5 0.0640863 7.24115e-05 0.00384518
40.5 0.0644931 7.40472e-05 0.00386959
41.5 0.0647278 7.5843e-05 0.00388367
42.5 0.0649858 7.763e-05 0.00389915
43.5 0.0652806 7.97206e-05 0.00391684
44.5 0.0653485 8.19407e-05 0.00392091
45.5 0.0655435 8.42246e-05 0.00393261
46.5 0.0656628 8.67786e-05 0.00393977
47.5 0.0657274 8.93136e-05 0.00394364
48.5 0.0657039 9.24832e-05 0.00394224
49.5 0.065793 9.54379e-05 0.00394758
50.5 0.0657766 9.88912e-05 0.00394659
51.5 0.0656235 0.000102697 0.00393741
52.5 0.0655766 0.000106599 0.0039346
53.5 0.0654318 0.000110972 0.00392591
54.5 0.0653395 0.000115875 0.00392037
55.5 0.0652357 0.000120676 0.00391414
56.5 0.0651777 0.000126287 0.00391066
57.5 0.0650216 0.000132422 0.0039013
58.5 0.0647796 0.000139301 0.00388678
59.5 0.0646179 0.000146117 0.00387708
60.5 0.0645895 0.000153879 0.00387537
61.5 0.0643815 0.000162983 0.00386289
62.5 0.0641803 0.000172164 0.00385082
63.5 0.0642372 0.000182279 0.00385423
64.5 0.0641284 0.00019375 0.0038477
65.5 0.0640378 0.000205673 0.00384227
66.5 0.0639266 0.000219545 0.00383559
67.5 0.0639718 0.000235072 0.00383831
68.5 0.0638927 0.000250397 0.00383356
69.5 0.0639872 0.00026836 0.00383923
70.5 0.064133 0.000288927 0.00384798
71.5 0.0637731 0.000311676 0.00382638
72.5 0.0641568 0.00033188 0.00384941
73.5 0.064226 0.000359711 0.00385356
74.5 0.0644415 0.000389335 0.00386649
75.5 0.0646959 0.000422876 0.00388175
76.5 0.0649549 0.000453714 0.0038973
77.5 0.0655673 0.000491086 0.00393404
78.5 0.0659108 0.000537208 0.00395465
79.5 0.0669215 0.00058234 0.00401529
80.5 0.0677335 0.000642167 0.00406401
81.5 0.0683892 0.000707615 0.00410335
82.5 0.0701171 0.00075942 0.00420702
83.5 0.0712375 0.000827147 0.00427425
84.5 0.0739062 0.000893186 0.00443437
85.5 0.0739694 0.00102783 0.00443817
86.5 0.0774927 0.00113632 0.00464956
87.5 0.0788263 0.00126687 0.00472958
88.5 0.0799151 0.00156658 0.00479491
89.5 0.0817604 0.00178471 0.00490562
90.5 0.0604222 0.00345865 0.00362533
91.5 0.025212 0.0110063 0.00151272

centrality v2{2}ab stat-err sys-err
0.5 0.0159068 0.000177391 0.000954408
1.5 0.0170571 0.000161155 0.00102343
2.5 0.0187218 0.000148605 0.00112331
3.5 0.0204157 0.000138851 0.00122494
4.5 0.0221273 0.000131029 0.00132764
5.5 0.0239473 0.000123186 0.00143684
6.5 0.025767 0.000116287 0.00154602
7.5 0.0275952 0.000110415 0.00165571
8.5 0.0293476 0.000105539 0.00176085
9.5 0.0311417 0.000101141 0.0018685
10.5 0.0326747 9.80887e-05 0.00196048
11.5 0.0343537 9.48823e-05 0.00206122
12.5 0.0358945 9.24518e-05 0.00215367
13.5 0.0373732 9.04647e-05 0.00224239
14.5 0.0388136 8.8705e-05 0.00232881
15.5 0.0401711 8.73741e-05 0.00241027
16.5 0.0415221 8.61215e-05 0.00249133
17.5 0.0428389 8.49948e-05 0.00257033
18.5 0.0440435 8.43913e-05 0.00264261
19.5 0.0452139 8.37925e-05 0.00271284
20.5 0.0462662 8.35696e-05 0.00277597
21.5 0.0474033 8.33017e-05 0.0028442
22.5 0.0484373 8.32134e-05 0.00290624
23.5 0.0494978 8.30415e-05 0.00296987
24.5 0.0503338 8.34428e-05 0.00302003
25.5 0.051179 8.38967e-05 0.00307074
26.5 0.0519695 8.43609e-05 0.00311817
27.5 0.0527669 8.48696e-05 0.00316602
28.5 0.0535506 8.55146e-05 0.00321303
29.5 0.0541693 8.6455e-05 0.00325016
30.5 0.0548264 8.74255e-05 0.00328959
31.5 0.0553488 8.86334e-05 0.00332093
32.5 0.0560558 8.95863e-05 0.00336335
33.5 0.0563833 9.13258e-05 0.003383
34.5 0.0568096 9.28611e-05 0.00340858
35.5 0.0571984 9.45833e-05 0.00343191
36.5 0.0576245 9.62448e-05 0.00345747
37.5 0.0578142 9.84991e-05 0.00346885
38.5 0.058096 0.000100615 0.00348576
39.5 0.0582532 0.000103124 0.00349519
40.5 0.0584563 0.000105819 0.00350738
41.5 0.0584424 0.000108891 0.00350654
42.5 0.0585483 0.000111812 0.0035129
43.5 0.0586057 0.000115272 0.00351634
44.5 0.0584381 0.000119206 0.00350629
45.5 0.0583473 0.000123201 0.00350084
46.5 0.0582566 0.000127669 0.0034954
47.5 0.0580522 0.000132253 0.00348313
48.5 0.0576944 0.000138062 0.00346166
49.5 0.0574776 0.000143623 0.00344865
50.5 0.0571834 0.000149898 0.003431
51.5 0.0566523 0.00015735 0.00339914
52.5 0.0562217 0.00016492 0.0033733
53.5 0.0556738 0.000173706 0.00334043
54.5 0.0551043 0.000183565 0.00330626
55.5 0.0544917 0.000193662 0.0032695
56.5 0.054052 0.000204753 0.00324312
57.5 0.0534242 0.000217452 0.00320545
58.5 0.0525749 0.000232528 0.0031545
59.5 0.051917 0.000247322 0.00311502
60.5 0.0513797 0.000263928 0.00308278
61.5 0.0504141 0.000284957 0.00302485
62.5 0.0493404 0.000307769 0.00296043
63.5 0.048711 0.000331735 0.00292266
64.5 0.0479415 0.000358817 0.00287649
65.5 0.0467332 0.000391746 0.00280399
66.5 0.0458028 0.000427752 0.00274817
67.5 0.0450281 0.00046735 0.00270169
68.5 0.0438749 0.000512491 0.0026325
69.5 0.0432125 0.000560465 0.00259275
70.5 0.0421967 0.000621734 0.0025318
71.5 0.0410133 0.000688887 0.0024608
72.5 0.0403321 0.000753564 0.00241993
73.5 0.0387483 0.000855712 0.0023249
74.5 0.0377832 0.000956813 0.00226699
75.5 0.0368589 0.00107443 0.00221154
76.5 0.035309 0.00121331 0.00211854
77.5 0.0341222 0.00137844 0.00204733
78.5 0.0331409 0.00156489 0.00198845
79.5 0.0321476 0.00178115 0.00192886
80.5 0.0300257 0.00212983 0.00180154
81.5 0.0298298 0.00238551 0.00178979
82.5 0.0294068 0.00265591 0.00176441
83.5 0.0281597 0.00304814 0.00168958
84.5 0.0296151 0.0032344 0.00177691
85.5 0.0275624 0.00394663 0.00165374
86.5 0.0306345 0.00405255 0.00183807
87.5 0.027401 0.00512887 0.00164406
88.5 0.0305055 0.00556565 0.00183033
89.5 0.0306057 0.0065479 0.00183634
90.5 0.032207 0.00804922 0.00193242
91.5 0.0343629 0.0102895 0.00206177
92.5 0.0394139 0.0171453 0.00236484

centrality v2{4} stat-err sys-err
5.5 0.00500517 0.0341644 0.00030031
6.5 0.0173852 0.000887024 0.00104311
7.5 0.0195894 0.000678988 0.00117536
8.5 0.0217346 0.000540803 0.00130407
9.5 0.0245692 0.000406804 0.00147415
10.5 0.0254655 0.000399564 0.00152793
11.5 0.0280177 0.000326059 0.00168106
12.5 0.0296097 0.000298104 0.00177658
13.5 0.0316573 0.000263998 0.00189944
14.5 0.033219 0.0002475 0.00199314
15.5 0.0346635 0.000234263 0.00207981
16.5 0.036061 0.000224484 0.00216366
17.5 0.0377192 0.000209403 0.00226315
18.5 0.0388253 0.000206546 0.00232952
19.5 0.0400119 0.000201712 0.00240071
20.5 0.0414145 0.000193923 0.00248487
21.5 0.0424296 0.000193137 0.00254578
22.5 0.0435792 0.000189401 0.00261475
23.5 0.0446168 0.000187885 0.00267701
24.5 0.0454394 0.000188472 0.00272636
25.5 0.0462288 0.00019014 0.00277373
26.5 0.0471839 0.000188848 0.00283103
27.5 0.0480037 0.000189517 0.00288022
28.5 0.0488 0.000190483 0.002928
29.5 0.0494798 0.000192632 0.00296879
30.5 0.0500142 0.000197483 0.00300085
31.5 0.0502137 0.000205189 0.00301282
32.5 0.0512082 0.000203627 0.00307249
33.5 0.051353 0.000212276 0.00308118
34.5 0.0519455 0.000216043 0.00311673
35.5 0.0521446 0.000223455 0.00312868
36.5 0.0524956 0.000230488 0.00314974
37.5 0.0528236 0.000237524 0.00316941
38.5 0.0530369 0.00024609 0.00318221
39.5 0.0528477 0.000262396 0.00317086
