centrality sigma/v stat-err sys-err
6.5 0.634583 0.0324108 0.0126917
7.5 0.602518 0.0209425 0.0120504
8.5 0.573676 0.0143256 0.0114735
9.5 0.520632 0.00867684 0.0104126
10.5 0.536007 0.00846305 0.0107201
11.5 0.495936 0.00582732 0.00991872
12.5 0.487375 0.00496362 0.00974749
13.5 0.462987 0.00391863 0.00925973
14.5 0.454183 0.00344151 0.00908367
15.5 0.448299 0.00308734 0.00896598
16.5 0.441754 0.0028072 0.00883509
17.5 0.426803 0.00242727 0.00853606
18.5 0.428174 0.0023349 0.00856349
19.5 0.425096 0.00219978 0.00850192
20.5 0.415234 0.00200124 0.00830467
21.5 0.416278 0.00195115 0.00832556
22.5 0.411473 0.00184468 0.00822947
23.5 0.409079 0.00177869 0.00818159
24.5 0.410433 0.00175818 0.00820867
25.5 0.41174 0.00174898 0.00823479
26.5 0.40757 0.00168682 0.0081514
27.5 0.406917 0.00166202 0.00813833
28.5 0.405094 0.00163675 0.00810188
29.5 0.405217 0.0016331 0.00810434
30.5 0.408503 0.00166821 0.00817007
31.5 0.416731 0.00175791 0.00833461
32.5 0.409378 0.00168332 0.00818756
33.5 0.416074 0.00177524 0.00832148
34.5 0.414523 0.00177948 0.00829046
35.5 0.420769 0.00185873 0.00841537
36.5 0.422137 0.00190908 0.00844273
37.5 0.4227 0.00195664 0.00845399
38.5 0.425927 0.00203237 0.00851854
39.5 0.43645 0.00222267 0.00872899
40.5 0.431512 0.00221372 0.00863024
41.5 0.445275 0.00248432 0.0089055
42.5 0.441963 0.00250562 0.00883926
43.5 0.451848 0.00275515 0.00903697
44.5 0.458796 0.00300692 0.00917592
45.5 0.466485 0.0032758 0.0093297
46.5 0.471173 0.00352319 0.00942346
47.5 0.467316 0.00362164 0.00934632
48.5 0.488235 0.00437378 0.00976469
49.5 0.49089 0.00468011 0.0098178
50.5 0.494203 0.00506824 0.00988406
51.5 0.507102 0.00589102 0.010142
52.5 0.532524 0.0074923 0.0106505
53.5 0.533905 0.00813858 0.0106781
54.5 0.547337 0.00963919 0.0109467
55.5 0.539953 0.00997459 0.0107991
56.5 0.578218 0.0140451 0.0115644
57.5 0.604653 0.0185227 0.0120931
58.5 0.642199 0.0273944 0.012844
59.5 0.625517 0.0265695 0.0125103
60.5 0.593013 0.0231095 0.0118603
61.5 0.684564 0.0526954 0.0136913
62.5 0.68608 0.0597581 0.0137216
63.5 0.690499 0.0698836 0.01381
64.5 0.744354 0.12993 0.0148871
