centrality v3 stat-err sys-err
1 0.00944082 0.000145351 0.000566449
3 0.0109012 8.63642e-05 0.000654073
5 0.0121715 7.91344e-05 0.000730289
7 0.0126864 7.74014e-05 0.000761185
9 0.0134421 7.41139e-05 0.000806525
11 0.013836 7.31423e-05 0.000830163
13 0.0142293 7.23791e-05 0.000853759
15 0.0145343 7.23551e-05 0.000872058
17 0.0148881 7.22668e-05 0.000893286
19 0.0151814 7.27193e-05 0.000910886
21 0.0154736 7.34304e-05 0.000928419
23 0.015337 7.64523e-05 0.00092022
25 0.0157699 7.69898e-05 0.000946194
27 0.0158011 7.9722e-05 0.000948067
29 0.0157308 8.33838e-05 0.000943849
31 0.0158077 8.66461e-05 0.00094846
33 0.0157821 9.08773e-05 0.000946925
35 0.0156181 9.65867e-05 0.000937087
37 0.0157231 0.000101164 0.000943383
39 0.0153656 0.000109503 0.000921933
41 0.0152136 0.00011762 0.000912817
43 0.0149631 0.000127488 0.000897787
45 0.01468 0.000139263 0.000880802
47 0.0141364 0.000155609 0.000848183
49 0.0136395 0.0001744 0.000818371
51 0.0134889 0.000191692 0.000809337
53 0.0126431 0.00022337 0.000758588
55 0.0123267 0.000252033 0.000739602
57 0.0112726 0.000304768 0.000676358
59 0.0107477 0.00035629 0.000644864
61 0.0097398 0.000440075 0.000584388
63 0.00827045 0.000586268 0.000496227
65 0.00752913 0.00073301 0.000451748
67 0.00531602 0.00118792 0.000318961

centrality v3 stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.0106527 0 0 0.000254126 0.00129251
7.5 0.01181 0 0 0.000349798 0.0012802
15 0.013061 0 0 0.000310137 0.00155698
25 0.0143526 0 0 0.000498121 0.00189
35 0.0140583 0 0 0.000592094 0.00217856
45 0.0131483 0 0 0.000643646 0.00194402
