https://drupal.star.bnl.gov/STAR/files/starpublications/48/Figure_29a.html
J. Adams et al, Phys. Rev. C72 (2005) 014904
arXiv:nucl-ex/0409033
Standard
centrality bin	v2(%)	v2Err
1(70-80%)	7.08	0.078
2(60-70%)	7.07	0.04
3(50-60%)	7.3	0.023
4(40-50%)	7.25	0.015
5(30-40%)	6.92	0.011
6(20-30%)	6.09	0.0088
7(10-20%)	4.7	0.008
8(5-10%)	3.35	0.012
9(0-5%)	        2.29	0.014
ScalarProd
centrality bin	v2(%)	v2Err
1(70-80%)	7.24	0.069
2(60-70%)	7.42	0.038
3(50-60%)	7.67	0.025
4(40-50%)	7.66	0.018
5(30-40%)	7.28	0.014
6(20-30%)	6.4	0.011
7(10-20%)	4.96	0.0098
8(5-10%)	3.53	0.013
9(0-5%)	        2.39	0.014
EtaSubs
centrality bin	v2(%)	v2Err
1(70-80%)	6.18	0.11
2(60-70%)	6.83	0.055
3(50-60%)	7.32	0.032
4(40-50%)	7.41	0.021
5(30-40%)	7.1	0.015
6(20-30%)	6.25	0.012
7(10-20%)	4.87	0.011
8(5-10%)	3.49	0.015
9(0-5%)	        2.39	0.018
RandomSubs
centrality bin	v2(%)	v2Err
1(70-80%)	7.12	0.1
2(60-70%)	7.38	0.05
3(50-60%)	7.6	0.03
4(40-50%)	7.6	0.02
5(30-40%)	7.21	0.015
6(20-30%)	6.33	0.012
7(10-20%)	4.93	0.011
8(5-10%)	3.5	0.015
9(0-5%)	        2.38	0.018
v_{2}{2}
centrality bin	v2(%)	v2Err
1(70-80%)	6.88	0.052
2(60-70%)	7.25	0.029
3(50-60%)	7.59	0.018
4(40-50%)	7.64	0.013
5(30-40%)	7.29	0.0094
6(20-30%)	6.42	0.0075
7(10-20%)	4.97	0.0066
8(5-10%)	3.55	0.0088
9(0-5%)	        2.41	0.0096
v_{2}{4}
centrality bin	v2(%)	v2Err
2(60-70%)	5.68	0.35
3(50-60%)	6.18	0.1
4(40-50%)	6.43	0.045
5(30-40%)	6.33	0.026
6(20-30%)	5.66	0.02
7(10-20%)	4.27	0.022
8(5-10%)	2.53	0.066
q_Dist
centrality bin	v2(%)	v2Err
2(60-70%)	5.83	0.16
3(50-60%)	5.87	0.074
4(40-50%)	6.03	0.039
5(30-40%)	5.98	0.023
6(20-30%)	5.31	0.017
7(10-20%)	4	0.019
8(5-10%)	2.44	0.055
Figure30
cent            v2{6}   err
2(60-70%)       5.65    1.54
3(50-60%)       6.01    0.27
4(40-50%)       6.24    0.08
5(30-40%)       6.14    0.03
6(20-30%)       5.45    0.02
7(10-20%)       4.01    0.03
8(5-10%)        2.48    0.13
9(0-5%)         2.08    0.2
